id;secid;shortname;regnumber;name;isin;is_traded;emitent_id;emitent_title;emitent_inn;emitent_okpo;gosreg;type;group;primary_boardid;marketprice_boardid
80390;SU29006RMFS2;ОФЗ 29006;29006RMFS;ОФЗ-ПК 29006 29/01/25;RU000A0JV4L2;1;1374788;Министерство финансов Российской Федерации;7710168360;;29006RMFS;ofz_bond;stock_bonds;TQOB;TQOB
80391;SU29007RMFS0;ОФЗ 29007;29007RMFS;ОФЗ-ПК 29007 03/03/27;RU000A0JV4M0;1;1374788;Министерство финансов Российской Федерации;7710168360;;29007RMFS;ofz_bond;stock_bonds;TQOB;TQOB
80392;SU29008RMFS8;ОФЗ 29008;29008RMFS;ОФЗ-ПК 29008 03/10/29;RU000A0JV4P3;1;1374788;Министерство финансов Российской Федерации;7710168360;;29008RMFS;ofz_bond;stock_bonds;TQOB;TQOB
80393;SU29009RMFS6;ОФЗ 29009;29009RMFS;ОФЗ-ПК 29009 05/05/32;RU000A0JV4N8;1;1374788;Министерство финансов Российской Федерации;7710168360;;29009RMFS;ofz_bond;stock_bonds;TQOB;TQOB
80394;SU29010RMFS4;ОФЗ 29010;29010RMFS;ОФЗ-ПК 29010 06/12/34;RU000A0JV4Q1;1;1374788;Министерство финансов Российской Федерации;7710168360;;29010RMFS;ofz_bond;stock_bonds;TQOB;TQOB
335335943;SU29013RMFS8;ОФЗ 29013;29013RMFS;ОФЗ-ПК 29013 18/09/30;RU000A101KT1;1;1374788;Министерство финансов Российской Федерации;7710168360;;29013RMFS;ofz_bond;stock_bonds;TQOB;TQOB
411501337;SU29014RMFS6;ОФЗ 29014;29014RMFS;ОФЗ-ПК 29014 25/03/26;RU000A101N52;1;1374788;Министерство финансов Российской Федерации;7710168360;;29014RMFS;ofz_bond;stock_bonds;TQOB;TQOB
411986943;SU29015RMFS3;ОФЗ 29015;29015RMFS;ОФЗ-ПК 29015 18/10/2028;RU000A1025A7;1;1374788;Министерство финансов Российской Федерации;7710168360;;29015RMFS;ofz_bond;stock_bonds;TQOB;TQOB
412026275;SU29016RMFS1;ОФЗ 29016;29016RMFS;ОФЗ-ПК 29016 23/12/2026;RU000A1025B5;1;1374788;Министерство финансов Российской Федерации;7710168360;;29016RMFS;ofz_bond;stock_bonds;TQOB;TQOB
412110653;SU29017RMFS9;ОФЗ 29017;29017RMFS;ОФЗ-ПК 29017 25/08/2032;RU000A1028D5;1;1374788;Министерство финансов Российской Федерации;7710168360;;29017RMFS;ofz_bond;stock_bonds;TQOB;TQOB
